transaction_id,date,customer_age,gender,region,product_category,quantity,unit_price,total_sales,payment_method,customer_rating
TXN00001,2023-01-01 00:00:00.000000,54.0,Male,South,Clothing,1,199,2717.9,UPI,5
TXN00002,2023-01-01 08:44:41.081081,41.0,Female,West,Electronics,7,4999,2311.51,Debit Card,2
TXN00003,2023-01-01 17:29:22.162162,66.0,Female,South,Clothing,3,199,2814.52,Cash,2
TXN00004,2023-01-02 02:14:03.243243,36.0,Female,West,Groceries,8,499,3374.74,Cash,3
TXN00005,2023-01-02 10:58:44.324324,68.0,Female,East,Groceries,3,199,2250.14,Cash,5
TXN00006,2023-01-02 19:43:25.405405,42.0,Male,East,Furniture,1,9999,2250.15,UPI,4
TXN00007,2023-01-03 04:28:06.486486,38.0,Male,West,Furniture,5,2999,3410.7,UPI,5
TXN00008,2023-01-03 13:12:47.567567,29.0,Female,North,Groceries,2,9999,2891.16,Debit Card,4
TXN00009,2023-01-03 21:57:28.648648,58.0,Female,South,Furniture,4,2999,2099.54,Debit Card,3
TXN00010,2023-01-04 06:42:09.729729,50.0,Male,South,Electronics,1,199,2747.24,Debit Card,3
TXN00011,2023-01-04 15:26:50.810810,67.0,Male,South,Clothing,9,4999,2103.41,Debit Card,4
TXN00012,2023-01-05 00:11:31.891891,21.0,Male,West,Furniture,6,2999,2101.93,Credit Card,4
TXN00013,2023-01-05 08:56:12.972972,59.0,Male,East,Clothing,8,1499,2554.86,Cash,4
TXN00014,2023-01-05 17:40:54.054054,24.0,Female,South,Sports,4,2999,1175.5,Credit Card,3
TXN00015,2023-01-06 02:25:35.135135,39.0,Female,East,Groceries,9,9999,1296.05,Credit Card,5
TXN00016,2023-01-06 11:10:16.216216,50.0,Male,South,Furniture,2,199,2040.14,Credit Card,3
TXN00017,2023-01-06 19:54:57.297297,34.0,Male,South,Clothing,9,4999,1751.79,Credit Card,5
TXN00018,2023-01-07 04:39:38.378378,41.0,Male,West,Clothing,5,999,2601.12,Cash,1
TXN00019,2023-01-07 13:24:19.459459,51.0,Male,North,Clothing,6,4999,1818.86,Credit Card,4
TXN00020,2023-01-07 22:09:00.540540,45.0,Male,West,Groceries,3,4999,1496.13,Debit Card,3
TXN00021,2023-01-08 06:53:41.621621,60.0,Male,South,Groceries,4,4999,3338.02,UPI,4
TXN00022,2023-01-08 15:38:22.702702,58.0,Female,South,Sports,6,1499,2255.5,Debit Card,4
TXN00023,2023-01-09 00:23:03.783783,56.0,Female,North,Clothing,7,499,2443.22,UPI,4
TXN00024,2023-01-09 09:07:44.864864,,Female,East,Electronics,1,9999,1488.16,Debit Card,4
TXN00025,2023-01-09 17:52:25.945945,66.0,Male,East,Clothing,7,199,2051.6,Debit Card,4
TXN00026,2023-01-10 02:37:07.027027,34.0,Male,South,Groceries,1,499,2470.99,UPI,4
